,,ナビデータ中身
2019/11/10,12:03:55,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120354114
2019/11/10,12:03:56,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120355114
2019/11/10,12:03:57,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120356114
2019/11/10,12:03:58,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120357114
2019/11/10,12:03:59,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120358114
2019/11/10,12:04:00,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120359114
2019/11/10,12:04:01,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120400114
2019/11/10,12:04:02,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120401114
2019/11/10,12:04:03,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120402114
2019/11/10,12:04:04,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120403114
2019/11/10,12:04:05,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120404114
2019/11/10,12:04:06,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120405114
2019/11/10,12:04:07,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120406114
2019/11/10,12:04:08,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120407114
2019/11/10,12:04:09,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120408114
2019/11/10,12:04:10,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120409114
2019/11/10,12:04:11,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120410114
2019/11/10,12:04:12,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120411114
2019/11/10,12:04:13,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120412114
2019/11/10,12:04:14,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120413114
2019/11/10,12:04:16,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120414114
2019/11/10,12:04:16,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120415114
2019/11/10,12:04:17,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120416114
2019/11/10,12:04:18,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120417114
2019/11/10,12:04:19,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120418114
2019/11/10,12:04:20,CVGPSR001FC01000510000470037461918140293368+067000030200-04070120419114
2019/11/10,12:04:21,CVGPSR001FC01000510000470037461918140293365+067000630223-04070120420114
2019/11/10,12:04:22,CVGPSR001FC01000510000470037461920140293365+067000730343-04070120421114
2019/11/10,12:04:23,CVGPSR001FC01000511000471037461921140293362+067003330539-04070120422114
2019/11/10,12:04:24,CVGPSR001FC01000514000474037461926140293356+067007430693-04070120423114
2019/11/10,12:04:25,CVGPSR001FC01000517000477037461931140293346+067009330713-04070120424114
2019/11/10,12:04:26,CVGPSR001FC01000522000482037461935140293337+067009230643-04070120425114
2019/11/10,12:04:27,CVGPSR001FC01000524000484037461940140293331+067008930563-04070120426114
2019/11/10,12:04:28,CVGPSR001FC01000527000487037461945140293321+067008830492-04070120427114
2019/11/10,12:04:29,CVGPSR001FC01000529000489037461950140293312+067008930451-04070120428114
2019/11/10,12:04:30,CVGPSR001FC01000532000492037461954140293306+067008930445-04070120429114
2019/11/10,12:04:31,CVGPSR001FC01000534000494037461959140293296+067008930462-04070120430114
2019/11/10,12:04:32,CVGPSR001FC01000537000497037461964140293287+067009930562-04070120431114
