,,ナビデータ中身
2019/11/10,12:04:31,CVGPSR002FC02000345000330037461853140293721+064000015729-01570120430114
2019/11/10,12:04:32,CVGPSR002FC02000345000330037461853140293721+064000015727-01570120431114
2019/11/10,12:04:33,CVGPSR002FC02000345000330037461853140293721+064000015728-01570120432114
2019/11/10,12:04:34,CVGPSR002FC02000345000330037461853140293721+064000015726-01570120433114
2019/11/10,12:04:35,CVGPSR002FC02000345000330037461853140293721+064000015726-01570120434114
2019/11/10,12:04:36,CVGPSR002FC02000345000330037461853140293721+064000015726-01570120435114
2019/11/10,12:04:37,CVGPSR002FC02000345000330037461853140293721+064000615707-01570120436114
2019/11/10,12:04:38,CVGPSR002FC02000345000330037461851140293721+064000615647-01570120437114
2019/11/10,12:04:39,CVGPSR002FC02000346000331037461850140293725+064002115556-01570120438114
2019/11/10,12:04:40,CVGPSR002FC02000348000333037461843140293728+064007015448-01570120439114
2019/11/10,12:04:41,CVGPSR002FC02000350000335037461835140293731+064009615247-01570120440114
2019/11/10,12:04:42,CVGPSR002FC02000350000335037461828140293737+064010115088-01570120441014
2019/11/10,12:04:43,CVGPSR002FC02000350000335037461820140293743+064009714928-01570120442114
2019/11/10,12:04:44,CVGPSR002FC02000350000335037461812140293750+064009914916-01570120443114
2019/11/10,12:04:45,CVGPSR002FC02000350000335037461804140293756+064010415269-01570120444014
2019/11/10,12:04:46,CVGPSR002FC02000353000338037461796140293759+064010416067-01570120445014
2019/11/10,12:04:47,CVGPSR002FC02000356000341037461790140293753+062010417214-01570120446014
2019/11/10,12:04:48,CVGPSR002FC02000359000344037461781140293753+062010018892-01570120447014
2019/11/10,12:04:49,CVGPSR002FC02000367000352037461771140293746+062010220905-01570120448114
2019/11/10,12:04:50,CVGPSR002FC02000377000362037461764140293737+063010623262-01570120449114
2019/11/10,12:04:51,CVGPSR002FC02000393000378037461760140293721+063011525781-01570120450114
2019/11/10,12:04:52,CVGPSR002FC02000403000388037461764140293703+063013127838-01570120451114
2019/11/10,12:04:53,CVGPSR002FC02000429000414037461770140293684+063015329151-01570120452114
2019/11/10,12:04:54,CVGPSR002FC02000435000420037461778140293662+062018329798-01570120453114
2019/11/10,12:04:55,CVGPSR002FC02000436000421037461787140293643+062020930037-01570120454114
2019/11/10,12:04:56,CVGPSR002FC02000441000426037461798140293618+063021830217-01570120455114
2019/11/10,12:04:57,CVGPSR002FC02000446000431037461807140293596+063022230257-01570120456114
2019/11/10,12:04:58,CVGPSR002FC02000451000436037461818140293575+063023930227-01570120457114
2019/11/10,12:04:59,CVGPSR002FC02000461000446037461831140293550+063024630261-01570120458114
2019/11/10,12:05:00,CVGPSR002FC02000466000451037461842140293528+063024230295-01570120459114
2019/11/10,12:05:01,CVGPSR002FC02000476000461037461853140293503+063023630407-01570120500114
2019/11/10,12:05:02,CVGPSR002FC02000481000466037461864140293484+063022730473-01570120501114
2019/11/10,12:05:03,CVGPSR002FC02000486000471037461875140293462+063022230530-01570120502114
2019/11/10,12:05:04,CVGPSR002FC02000495000480037461887140293440+063021530594-01570120503114
2019/11/10,12:05:05,CVGPSR002FC02000500000485037461898140293421+063021030645-01570120504114
2019/11/10,12:05:06,CVGPSR002FC02000505000490037461907140293400+063020330688-01570120505114
2019/11/10,12:05:07,CVGPSR002FC02000510000495037461918140293384+063019530741-01570120506114
2019/11/10,12:05:08,CVGPSR002FC02000515000500037461928140293365+063018830825-01570120507114
2019/11/10,12:05:09,CVGPSR002FC02000520000505037461939140293350+064018430945-01570120508114
